date,number_of_rides,number_of_riders,number_of_vehicles_used,median_ride_distance_meters,median_avg_speed,median_ride_duration,number_of_ready_vehicles
2019-04-27,8391,5831,1122,864.1743801206408,5.4898249860101975,9.733333,NA
2020-09-01,13176,7574,2962,1274.4040167145135,12.29682955130886,6.616667,3621
2019-02-15,6072,4462,1703,791.800661049487,7.459770407594128,7.316667,NA
2019-09-25,12199,8598,3035,1301.1167741953532,13.349907716117047,6.016667,6651
2019-07-04,12267,8614,2711,876.581699460779,8.997237727054399,6.616667,6336
2019-04-22,5110,3509,883,781.0388122153861,5.237826303355872,9.55,NA
2020-05-17,3930,2895,1725,1131.3351713578775,11.73778832184831,6.15,4043
2019-10-26,8344,6279,2986,1252.8428743509176,12.946298833668987,5.983333,5684
2019-06-10,9229,6693,1547,865.2692216714208,7.596996278044278,7.766667,NA
2019-05-10,7943,5851,1285,859.6993186789456,7.587636852301919,7.766667,NA
2019-06-12,10031,7154,1701,910.3209561246415,8.937525351539026,6.983333,NA
2019-12-22,2878,2125,1307,1305.0068596542865,13.785295250956864,5.833333,2847
2019-10-19,11505,8184,3647,1355.574269220719,12.674279217530012,6.583333,5878
2018-09-24,2137,1414,371,0,0,7.716667,NA
2018-10-07,1153,875,237,0,0,11.883333,NA
2020-02-01,4650,3432,1443,1326.2387576445303,13.447087738132067,6.066667,2148
2019-02-01,1079,859,504,737.5976572660993,7.263098954143255,6.5,NA
2019-06-06,13615,9508,1743,933.9719995332885,5.614560851117166,10.366667,NA
2020-05-09,7320,4996,2135,1212.813798775604,11.739850408229259,6.55,4714
2021-03-01,5696,3078,1671,1295.8721912650444,12.462170951936047,6.75,2398
2019-07-10,17418,11112,3384,925.3563793127419,8.316810915904021,7.566667,6867
2021-05-11,15743,7986,3560,1447.729115839488,12.825577532947877,7.316667,4514
2020-01-04,3365,2477,1296,1310.8146840649817,13.651618426771568,5.7,2294
2021-05-08,13965,7266,3174,1418.2947070452492,11.973857951663984,7.716667,4040
2018-12-31,1218,881,441,688.9919862512597,5.967462828392338,7.466667,NA
2019-12-03,4025,3076,1824,1247.4165918280896,14.10217348523868,5.416667,4386
2019-04-17,4771,3415,756,856.8637912151713,7.735397022664819,7.5,NA
2019-04-12,4200,3213,711,812.9388510907518,8.60847308563984,6.466667,NA
2021-05-03,10541,5506,2433,1065.7856521883243,10.815772174207533,6.983333,3277
2018-09-06,869,579,117,0,0,7.483333,NA
2019-05-03,8385,5830,1119,799.8720481169706,6.9522602202484265,7.45,NA
2021-05-27,11645,6287,3872,1213.480680115375,12.721223483935683,6.083333,5624
2020-07-05,4447,3072,1683,1153.4304963707018,11.838724945407296,6.35,3330
2018-12-08,2988,2169,703,655.3840204975916,5.2575155444701505,7.65,NA
2019-11-11,6624,4880,2994,1279.0211530507672,14.390794946167834,5.5,6396
2019-07-05,15924,10944,3032,831.9804225081377,8.588461007992034,6.666667,6542
2019-04-25,6247,4415,865,846.8215160820274,8.195523471847011,7.016667,NA
2020-06-28,9486,6184,2164,1429.9544058906108,11.621269072893256,7.8,3970
2020-02-18,4818,3539,1600,1334.349125122234,15.137980780501277,5.483333,2161
2020-01-25,4669,3542,1369,1294.6226594044342,13.435120174326572,5.916667,2218
2019-10-11,14538,10285,3839,1341.2439736556703,13.827474028523334,6.033333,6636
2021-04-17,11175,6112,2401,1465.6569326124109,12.388662619988885,7.616667,3070
2018-10-05,1573,1210,262,0,0,7.216667,NA
2021-08-07,9857,6138,3697,1130.5239165279963,11.742819157002746,6.45,6702
2020-10-16,14952,8612,2980,1156.8618750031158,11.729863427158786,6.333333,3910
2019-10-22,9159,6573,3185,1352.0291888548338,14.43910349565448,5.716667,6231
2019-07-23,10915,7161,2538,871.6646921638899,8.045497138930342,7.4,5588
2020-07-16,10902,6168,2468,1366.8945269851608,11.450978965272391,7.683333,3425
2019-07-29,13564,8798,3037,876.2269352292712,8.05744793078259,7.416667,5300
2020-11-23,6960,4005,2062,1128.6869144940192,12.119979295700617,6.066667,2832
2020-04-12,2418,1772,1157,1158.6282767596506,11.92387434436505,6.15,2480
2019-11-02,8865,6525,3176,1308.5910671008244,12.797735424588698,6.366667,6240
2021-01-27,238,210,206,1223.5038214405943,11.717663286015199,6.2916665,2716
2019-12-26,2836,2155,1278,1236.8900919387847,13.69770986404846,5.625,2604
2021-09-13,19538,10456,5152,1420.4316938202746,13.47928142273354,6.816667,6962
2020-11-22,5433,3150,1744,1161.4468013894752,11.629037614807075,6.533333,2756
2020-09-12,9938,6095,2747,1080.122793824009,11.562140111433763,6.1,4165
